"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Gateway Service","0","Cards Gateway Service","8","0","Issue Physical Card","0"
"2","Gateway Service","0","Documents Gateway Service","1","0","Get Tariff Document","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Transfer Operation","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Top up Operation","0"
"0","Gateway Service","0","Users Gateway Service","3","0","Get User","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Bill Payment Operation","0"
"2","Gateway Service","0","Documents Gateway Service","1","0","Get Contract Document","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Cash Withdrawal Operation","0"
"0","Gateway Service","0","Accounts Gateway Service","3","0","Open Debit Card Account","0"
"0","Gateway Service","0","Cards Gateway Service","2","0","Issue Virtual Card","0"
"0","Gateway Service","0","Accounts Gateway Service","3","0","Open Credit Card Account","0"
"0","Gateway Service","0","Operations Gateway Service","3","0","Get Operations","0"
"0","Gateway Service","0","Operations Gateway Service","3","0","Get Operations Summary","0"
"0","Gateway Service","0","Accounts Gateway Service","3","0","Get Accounts","0"
"0","Gateway Service","0","Users Gateway Service","2","0","Create User","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Cashback Operation","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Fee Operation","0"
"0","Gateway Service","0","Operations Gateway Service","5","0","Make Purchase Operation","0"
"2","Gateway Service","0","Operations Gateway Service","1","0","Get Operation Receipt","0"
"0","Gateway Service","0","Operations Gateway Service","3","0","Get Operation","0"
"0","Gateway Service","0","Accounts Gateway Service","3","0","Open Savings Account","0"
"0","Gateway Service","0","Accounts Gateway Service","3","0","Open Deposit Account","0"
